date,unit,unit_description,beds_used,beds,Optimized Occupancy%,Overflow,destination unit,number of transfer
2026-02-19,3B,3B-MERE ENFANT,2,13,15.4,0,,
2026-02-19,3D,3D-PEDIATRIE,6,9,66.7,0,,
2026-02-19,3DPEDOPSY,3D PEDOPSYCHIATRIE,1,4,25.0,0,,
2026-02-19,3F,3F-EVAL./READAPTATION/AVC,17,17,100.0,0,,
2026-02-19,3FSP,3FSP-SOINS PALLIATIFS,4,4,100.0,0,,
2026-02-19,4A,4A-CHIR.GENERALE/GYN-ONCO/URO,23,27,85.2,0,,
2026-02-19,4B,4B-PSYCHIATRIE,21,24,87.5,0,,
2026-02-19,4C,4C-MED GEN/INTERNE/TELEMETRIE,29,30,96.7,0,,
2026-02-19,4D,4D ONCOLOGIE,21,23,91.3,0,,
2026-02-19,4E,4E-ORTHOPEDIE/ORL/PLASTIE,25,25,100.0,0,,
2026-02-19,4F,4F-NEPHROLOGIE,19,19,100.0,0,,
2026-02-19,SCHIR,SOINS INT MED CHIRURGICAUX,9,10,90.0,0,,
2026-02-19,SCOR,SOINS CORONARIENS,5,6,83.3,0,,
2026-02-19,SINTER,SOINS INTERMEDIAIRES,7,8,87.5,0,,
